94583,37.7624642,-121.9814354
94506,37.8213111,-121.9131761
94507,37.8541701,-122.0098642
94526,37.8006948,-121.9814354
94528,37.8350861,-121.9565541
94588,37.6873908,-121.9131761
94582,37.7639471,-121.9131761
37013,36.0592679,-86.6706077
37015,36.2926757,-87.0824045
37064,35.8987234,-86.9624086
37069,35.9953768,-86.9123217
37072,36.3699666,-86.7215175
37073,36.4264892,-86.8119917
37075,36.3233083,-86.6006249
37076,36.1604644,-86.5905371
37080,36.3319963,-86.9223432
37082,36.1201088,-87.1223362
37086,36.0290209,-86.5501654
37115,36.2722491,-86.7114545
37122,36.1897975,-86.4794359
37135,35.9348433,-86.681253
37138,36.2427836,-86.6258353
37143,36.128285,-87.0124435
37189,36.2754942,-86.8320743
37201,36.1724885,-86.7805961
37203,36.1523805,-86.7893889
37204,36.1003494,-86.7718017
37205,36.1030036,-86.8722146
37206,36.1805194,-86.7265483
37207,36.2305398,-86.7718017
37208,36.1718363,-86.8069698
37209,36.1484862,-86.9523954
37210,36.1482458,-86.7366082
37211,36.0775432,-86.7315785
37212,36.1390165,-86.7969244
37213,36.1667268,-86.7680322
37214,36.1410253,-86.6711817
37215,36.0802326,-86.8320743
37216,36.2130528,-86.7265483
37217,36.1023342,-86.6459944
37218,36.2337188,-86.8922723
37219,36.1664702,-86.7837366
37220,36.0624707,-86.7768273
37221,36.0727326,-86.9624086
37228,36.1961749,-86.8044586
37240,36.1457192,-86.8066559
30005,34.0952227,-84.2173403
30022,34.029613,-84.238417
30024,34.067013,-84.0907246
30097,34.0488408,-84.1751648
30328,33.9253024,-84.3857442
30342,33.8856615,-84.3699767
30350,33.9900649,-84.3436881
30358,33.9216582,-84.3772367
30338,33.944647,-84.3226488
30346,33.9260395,-84.3410586
30360,33.936899,-84.2752831
27599,35.905249,-79.0581498
32628,29.6372166,-83.1863358
32680,29.5844034,-83.0576156
32648,29.5030923,-83.2720082
32359,29.694174,-83.4003037
32692,29.3182925,-83.15954
32008,29.9439274,-82.8855961
40601,38.2481018,-84.8984775
40347,38.1656308,-84.7002041
40379,38.3029045,-84.7106567
40003,38.2652936,-85.0545197
40076,38.1085808,-85.0856761
40019,38.3756102,-85.1790404
28792,35.3902982,-82.366887
28710,35.4509037,-82.284831
28724,35.3295368,-82.3751663
28726,35.2788129,-82.4156829
28727,35.3950103,-82.3401221
28729,35.3229781,-82.5997128
28731,35.2927999,-82.3777335
28732,35.4393566,-82.4536115
28735,35.4709964,-82.3506142
28739,35.2701864,-82.5402275
28791,35.3664107,-82.5077593
28793,35.3528692,-82.4384611
28742,35.3757125,-82.6591465
28759,35.3922378,-82.5726805
28758,35.37,-82.49
28760,35.395787,-82.495943
28784,35.2299999,-82.43
28790,35.2122099,-82.4861053
60187,41.8745267,-88.1193763
60101,41.9320859,-88.0020589
60599,41.77,-88.25
60105,41.95,-87.94
60106,41.9508814,-87.9432837
60399,41.96,-87.94
60108,41.9485328,-88.0949609
60117,41.9420876,-88.1175456
60525,41.7906113,-87.8647961
60116,41.92,-88.12
60128,41.92,-88.12
60132,41.92,-88.12
60188,41.9194214,-88.1340191
60197,41.92,-88.12
60199,41.9152434,-88.1059495
60514,41.7972708,-87.9579848
60561,41.7478867,-87.9775787
60515,41.8132909,-88.0216334
60516,41.7735217,-88.0216334
60517,41.748902,-88.0363086
60126,41.89137,-87.9432837
60137,41.853696,-88.0607565
60138,41.8621633,-88.0538882
60139,41.9283761,-88.0754188
60103,41.9752644,-88.2169027
60522,41.803744,-87.9270453
60570,18.7371188,-102.7853522
60143,41.9720763,-88.0216334
60532,41.794402,-88.0803051
60148,41.8725524,-88.0020589
60540,41.7606321,-88.1437782
60563,41.7962928,-88.1974148
60564,41.6967777,-88.1974148
60565,41.7353591,-88.1193763
60566,41.7748554,-88.1480775
60567,41.7748554,-88.1480775
60521,41.7967461,-87.9285777
60523,41.831793,-87.9432837
60181,41.8770889,-87.9775787
60172,41.9782668,-88.0949609
60555,41.836351,-88.2169027
60184,41.9510071,-88.2509857
60185,41.8959291,-88.2169027
60186,41.879867,-88.225988
60559,41.7976163,-87.9775787
60189,41.8396885,-88.1144943
60190,41.870115,-88.1535352
60191,41.9663562,-87.9775787
60133,41.9790639,-88.1437782
60502,41.7773033,-88.2558525
60503,41.7126888,-88.2607188
60504,41.7568116,-88.2169027
60506,41.7691984,-88.3821989
60561,41.7478867,-87.9775787
60527,41.7519035,-87.9236747
30133,33.7493709,-84.7460678
60521,41.7967461,-87.9285777
60523,41.831793,-87.9432837
60522,41.803744,-87.9270453
60181,41.8770889,-87.9775787
60517,41.748902,-88.0363086
37024,36.036508,-86.7847457
37025,35.9489862,-87.2419299
37027,35.9805462,-86.761749
37029,36.0359974,-87.2419299
40502,38.013412,-84.485507
40503,38.0103355,-84.5327038
40504,38.0369642,-84.5379455
40505,38.05414,-84.4540213
40507,38.0468188,-84.4946871
40508,38.0488113,-84.5091102
40509,37.9923606,-84.375233
40510,38.0765476,-84.5955732
40511,38.1248882,-84.5012435
40513,38.0141976,-84.6165146
40514,37.9828762,-84.5667665
40515,37.9098504,-84.4172666
40516,38.0657176,-84.3647199
40517,37.9817391,-84.485507
40522,38.02,-84.49
40523,37.99,-84.52
40524,37.99,-84.52
40525,-6.8701363,107.5460773
40526,38.0392338,-84.5065464
40527,47.2639065,11.3845696
40528,47.2640164,11.3847266
40529,41.4384976,-3.4902391
40530,41.3133705,-3.6521849
40531,41.3721677,-3.6927531
40532,41.4302247,-3.7536663
40533,38.04,-84.55
40534,-6.9224034,107.5593913
40535,-6.9069547,107.5593913
40536,38.0328237,-84.5067424
40537,18.1353404,-99.9304429
40538,18.1250813,-99.9304429
40539,18.1328164,-99.9367287
40540,41.4521847,-3.6927531
40546,38.0392338,-84.5065464
40544,38.04,-84.55
40550,38.14,-84.47
40555,38.05,-84.5
40574,38.14,-84.47
40575,38.14,-84.47
40576,38.14,-84.47
40577,38.14,-84.47
